,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Crazy Kids___Kesha,,,,,,,,,,,,,,,,,,,,
Violet Hill___Coldplay,,,,,,,,,,,,,,,,,,,,
Too Good At Goodbyes___Sam Smith,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,audio_features,1mXVgsBdtIVeCLJnSnmtdV,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,201000,4,The Thrill Of It All (Special Edition),3TJz2UBNYJtlEly0sPeNrQ
Monna Kanipinchavu___Harris Jayaraj,,,,,,,,,,,,,,,,,,,,
"unravel (from ""Tokyo Ghoul"") - Piano Arrangement___HalcyonMusic",,,,,,,,,,,,,,,,,,,,
If Our Love Is Wrong___Calum Scott,0.412,0.523,7,-5.571,0,0.0337,0.0673,0,0.0858,0.0395,151.703,audio_features,0bhBfW4mSRLILc32S4KugQ,spotify:track:0bhBfW4mSRLILc32S4KugQ,https://api.spotify.com/v1/tracks/0bhBfW4mSRLILc32S4KugQ,https://api.spotify.com/v1/audio-analysis/0bhBfW4mSRLILc32S4KugQ,203576,4,Only Human (Deluxe),6Vip5A5NmEazvKuxj6GLYf
What A Time (feat. Niall Horan)___Julia Michaels,0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861,audio_features,5WtfUKzXircvW8l5aaVZWT,spotify:track:5WtfUKzXircvW8l5aaVZWT,https://api.spotify.com/v1/tracks/5WtfUKzXircvW8l5aaVZWT,https://api.spotify.com/v1/audio-analysis/5WtfUKzXircvW8l5aaVZWT,173307,4,Inner Monologue Part 1,1xJ7jIK1tT0aVoJw1fPE6r
In a Stranger's Arms___LÉON,0.497,0.433,9,-7.521,1,0.0278,0.377,0,0.099,0.357,97.856,audio_features,00K0B8nvfmTif7poYsk378,spotify:track:00K0B8nvfmTif7poYsk378,https://api.spotify.com/v1/tracks/00K0B8nvfmTif7poYsk378,https://api.spotify.com/v1/audio-analysis/00K0B8nvfmTif7poYsk378,201391,4,Apart,1NthtnctJUX7DxcNv43Kft
High Hopes___Kodaline,,,,,,,,,,,,,,,,,,,,
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)___Rudimental",,,,,,,,,,,,,,,,,,,,
Who I Am___Anne-Marie,0.694,0.806,0,-5.597,1,0.0599,0.0542,0,0.0927,0.664,98.077,audio_features,1o8kO8YyMWRAeb9bE2AIxO,spotify:track:1o8kO8YyMWRAeb9bE2AIxO,https://api.spotify.com/v1/tracks/1o8kO8YyMWRAeb9bE2AIxO,https://api.spotify.com/v1/audio-analysis/1o8kO8YyMWRAeb9bE2AIxO,152493,4,Therapy,4AeowfpQNCScPBpPhnovKM
Loungerie___Jorge Milliano,,,,,,,,,,,,,,,,,,,,
Human___The Score,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,audio_features,7sbw45bbzVK8jj5K3jC0JD,spotify:track:7sbw45bbzVK8jj5K3jC0JD,https://api.spotify.com/v1/tracks/7sbw45bbzVK8jj5K3jC0JD,https://api.spotify.com/v1/audio-analysis/7sbw45bbzVK8jj5K3jC0JD,221520,4,I Hope - Sad Country Songs,0TFWNpKEpFTBmGmvvOIYKl
Summer Air___ItaloBrothers,0.755,0.751,8,-4.034,1,0.0748,0.0635,0,0.0812,0.491,102.002,audio_features,2uBQlIpLDTR8zbCjxtqOJ7,spotify:track:2uBQlIpLDTR8zbCjxtqOJ7,https://api.spotify.com/v1/tracks/2uBQlIpLDTR8zbCjxtqOJ7,https://api.spotify.com/v1/audio-analysis/2uBQlIpLDTR8zbCjxtqOJ7,183587,4,Summer Air,7BcXk0BIH8mgSpvLvbZwwR
"fuck, i'm lonely (with Anne-Marie)___Lauv",,,,,,,,,,,,,,,,,,,,
When I'm Down (feat. Aron Blom)___Lucas & Steve,,,,,,,,,,,,,,,,,,,,
APESHIT___The Carters,0.706,0.785,2,-6.475,1,0.271,0.0131,0,0.164,0.377,160.033,audio_features,62GXGpd73vslqIBHq8XqOx,spotify:track:62GXGpd73vslqIBHq8XqOx,https://api.spotify.com/v1/tracks/62GXGpd73vslqIBHq8XqOx,https://api.spotify.com/v1/audio-analysis/62GXGpd73vslqIBHq8XqOx,264853,4,EVERYTHING IS LOVE,7jbdod8XNRfe2nIhppht46
Hymn for the Weekend___Coldplay,,,,,,,,,,,,,,,,,,,,
Secrets___OneRepublic,0.516,0.764,2,-6.223,1,0.0366,0.0717,0,0.115,0.376,148.021,audio_features,1NhPKVLsHhFUHIOZ32QnS2,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,https://api.spotify.com/v1/tracks/1NhPKVLsHhFUHIOZ32QnS2,https://api.spotify.com/v1/audio-analysis/1NhPKVLsHhFUHIOZ32QnS2,224693,4,Waking Up,2pLAOZiilrhOrTQNqrF8qr
Vaazhkai Oru___Mickey J. Meyer,,,,,,,,,,,,,,,,,,,,
Firaaq___Daboo Malik,0.404,0.452,1,-8.164,1,0.0369,0.75,1.93e-06,0.111,0.453,125.732,audio_features,2KqjyZUxqp8AstWlcgn2gA,spotify:track:2KqjyZUxqp8AstWlcgn2gA,https://api.spotify.com/v1/tracks/2KqjyZUxqp8AstWlcgn2gA,https://api.spotify.com/v1/audio-analysis/2KqjyZUxqp8AstWlcgn2gA,232689,3,Firaaq,3GZbbelzDwCclNQwt4yEEh
Brian And Mia___Brian Tyler,0.24,0.0532,4,-27.801,0,0.0385,0.874,0.884,0.0908,0.0315,97.393,audio_features,2U36fmTaW67BQgboHkieNt,spotify:track:2U36fmTaW67BQgboHkieNt,https://api.spotify.com/v1/tracks/2U36fmTaW67BQgboHkieNt,https://api.spotify.com/v1/audio-analysis/2U36fmTaW67BQgboHkieNt,198853,4,Fast & Furious (Original Motion Picture Score),6Zuqq61QgvmnCfEjA8Fb4R
Singarala___S. P. Balasubrahmanyam,,,,,,,,,,,,,,,,,,,,
Come to Me___The Goo Goo Dolls,0.589,0.669,0,-4.835,1,0.0253,0.0505,0,0.131,0.421,92.06,audio_features,1jvoeTYt8usIxGWQUSzEyz,spotify:track:1jvoeTYt8usIxGWQUSzEyz,https://api.spotify.com/v1/tracks/1jvoeTYt8usIxGWQUSzEyz,https://api.spotify.com/v1/audio-analysis/1jvoeTYt8usIxGWQUSzEyz,225333,4,Magnetic (Deluxe Version),35jYPfl0Y8rCfMU2EkO56x
Konoha Peace___Kato,,,,,,,,,,,,,,,,,,,,
A habit to avoid the herd mentality___The Habit Coach with Ashdin Doctor,,,,,,,,,,,,,,,,,,,,
Around the World (feat. NOUMENN) [Official Sunburn Goa Anthem 2021]___KSHMR,,,,,,,,,,,,,,,,,,,,
Shadows___Seven Lions,0.653,0.689,10,-17.093,0,0.201,0.162,0.00314,0.118,0.462,129.812,audio_features,5ZxJU7Y1vIzxYGu898FBXk,spotify:track:5ZxJU7Y1vIzxYGu898FBXk,https://api.spotify.com/v1/tracks/5ZxJU7Y1vIzxYGu898FBXk,https://api.spotify.com/v1/audio-analysis/5ZxJU7Y1vIzxYGu898FBXk,59116,4,"Live at ASOT 1000 (Los Angeles, USA) [Highlights]",7sM26LXnaDEgrGDPuHvGYd
