,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature,albumName,albumID
13548,FM-84,Running in the Night,1302,2022-01-08 19:12:00,0.527,0.714,2,-8.929,0,0.0371,0.00664,1.16e-06,0.0672,0.375,133.015,0E3HnGJSMplqBSYGsh2exH,4,Atlas,30JbhlAXrxQH4hfjdFnhSR
13549,BANNERS,No One Knows Us,195840,2022-01-08 19:19:00,0.385,0.394,0,-7.706,1,0.0291,0.43,0.0,0.16,0.231,94.712,0r2qWobW2xckEaeMbGU0AU,4,Where The Shadow Ends,1Oy5r0FpHWcYaQZPvsYaWs
13550,Forest Blakk,Fall Into Me,226066,2022-01-08 19:27:00,0.45,0.483,2,-6.754,1,0.0572,0.179,0.0,0.127,0.206,118.305,7Lv78wiIJcKgND9Zi7AIOt,4,Fall Into Me,6nRIGu1lglm6SZC3oG3L4l
13551,The Chain Gang Of 1974,Forget,126011,2022-01-08 19:29:00,0.794,0.884,1,-5.931,1,0.179,0.0634,0.0,0.319,0.716,93.064,56TXkBMhaHhmqNq1M30qlE,4,Forget About It (feat. Sunny Malton),4RLU0GFaflztJsjpK5AnJX
13552,Rave New World,Home,188800,2022-01-08 19:35:00,0.633,0.799,7,-4.625,0,0.0427,0.0144,0.0,0.194,0.534,142.991,6Yc3tjFCVR2bfAQFRTZBef,4,MAP OF THE SOUL : PERSONA,2KqlAl1Kl5fZvbFgJ0qFB6
13553,Niall Horan,This Town,1681,2022-01-08 19:37:00,0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825,0qvzXomUDJVaUboy2wMfiS,4,Flicker (Deluxe),7ahctQBwcSxDdP0fRAPo2p
13554,Jake Scott,Working for You,1233,2022-01-08 19:37:00,0.548,0.497,10,-8.489,1,0.0375,0.42,0.0,0.105,0.118,109.906,57ZmUMnoKaHa29g5xvpDZa,4,Working for You,508G5EcAvh0Mwm7uoXCn69
13555,Gryffin,Safe With Me (with Audrey Mika),3048,2022-01-08 19:37:00,0.497,0.757,11,-4.189,1,0.127,0.0449,0.0,0.119,0.507,169.902,6Skh3CBum0pZw9TOr7FQnX,4,Safe With Me (with Audrey Mika),2qBzKbaRm9IXomwL7jMdM7
13556,Basixx,Why Do I Fall Back to You,90358,2022-01-08 19:37:00,0.576,0.475,4,-9.323,0,0.0489,0.0304,0.00484,0.149,0.129,82.0,1oRSrCXQeFALDz19lzIGTB,4,Why Do I Fall Back To You,0xEKAeHp82gqAOigPQOuUn
13557,Ed Sheeran,Happier,1124,2022-01-08 19:39:00,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,2RttW7RAu5nOAfq6YFvApB,4,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu
